dates,tension,temperature_stream,dH
2015-07-26 22:30:00,1.26253,15.741,-0.01574199865401681
2015-07-26 22:45:00,1.27577,15.75,-0.016746206836846547
2015-07-26 23:00:00,1.2771,15.759,-0.016819110181698557
2015-07-26 23:15:00,1.26974,15.768,-0.01621249723418902
2015-07-26 23:30:00,1.27684,15.775,-0.016743497168562705
2015-07-26 23:45:00,1.27726,15.78,-0.016759063446209345
2015-07-27 00:00:00,1.27474,15.784,-0.01654819097569319
2015-07-27 00:15:00,1.27893,15.788,-0.01686200830054483
2015-07-27 00:30:00,1.27546,15.789,-0.016587215813490392
2015-07-27 00:45:00,1.2763,15.792,-0.016642534357973488
2015-07-27 01:00:00,1.27932,15.795,-0.016868318439550743
2015-07-27 01:15:00,1.27607,15.797,-0.01660727375529388
2015-07-27 01:30:00,1.27474,15.797,-0.016503274138626338
2015-07-27 01:45:00,1.27382,15.8,-0.01642096913022607
2015-07-27 02:00:00,1.27989,15.803,-0.01688524857333414
2015-07-27 02:15:00,1.27901,15.804,-0.016812981655579633
2015-07-27 02:30:00,1.27893,15.808,-0.01679290547428813
2015-07-27 02:45:00,1.27134,15.81,-0.016192493619852987
2015-07-27 03:00:00,1.28096,15.813,-0.016934366024742842
2015-07-27 03:15:00,1.28138,15.814,-0.016963752867640798
2015-07-27 03:30:00,1.27077,15.813,-0.0161375569316284
2015-07-27 03:45:00,1.27432,15.812,-0.016418605034723005
2015-07-27 04:00:00,1.27863,15.812,-0.016755626348886225
2015-07-27 04:15:00,1.27623,15.811,-0.016571413008994486
2015-07-27 04:30:00,1.27413,15.81,-0.016410658229253312
2015-07-27 04:45:00,1.2744,15.81,-0.016431770933388826
2015-07-27 05:00:00,1.2697,15.809,-0.016067708632342713
2015-07-27 05:15:00,1.27218,15.805,-0.016275453294838788
2015-07-27 05:30:00,1.27314,15.804,-0.016353975828633436
2015-07-27 05:45:00,1.27451,15.803,-0.01646455839463389
2015-07-27 06:00:00,1.26749,15.802,-0.01591908322842334
2015-07-27 06:15:00,1.27443,15.801,-0.0164652130612194
2015-07-27 06:30:00,1.27115,15.8,-0.01621218794488598
2015-07-27 06:45:00,1.27352,15.799,-0.01640096571138834
2015-07-27 07:00:00,1.27001,15.798,-0.016129955698939488
2015-07-27 07:15:00,1.27123,15.799,-0.01622189870223898
2015-07-27 07:30:00,1.27035,15.801,-0.016146176643171632
2015-07-27 07:45:00,1.27016,15.807,-0.016110588707199253
2015-07-27 08:00:00,1.26673,15.812,-0.015825103462913534
2015-07-27 08:15:00,1.27569,15.822,-0.016491181046282274
2015-07-27 08:30:00,1.27455,15.826,-0.016388217952458765
2015-07-27 08:45:00,1.27173,15.837,-0.016129700932602204
2015-07-27 09:00:00,1.26898,15.844,-0.01589047814203211
2015-07-27 09:15:00,1.26696,15.854,-0.015697972423889917
2015-07-27 09:30:00,1.27352,15.858,-0.016197112373931073
2015-07-27 09:45:00,1.27207,15.873,-0.016031902213510797
2015-07-27 10:00:00,1.26631,15.87,-0.015591863282558318
2015-07-27 10:15:00,1.26829,15.878,-0.015719048649049397
2015-07-27 10:30:00,1.26677,15.942,-0.015379062900265066
2015-07-27 10:45:00,1.2747,15.925,-0.016057888242563382
2015-07-27 11:00:00,1.27081,15.944,-0.0156880612276671
2015-07-27 11:15:00,1.27623,15.931,-0.016156796051454297
2015-07-27 11:30:00,1.27855,15.952,-0.016265650949049186
2015-07-27 11:45:00,1.27764,15.956,-0.01618067275134112
2015-07-27 12:00:00,1.27325,15.991,-0.015716465875188518
2015-07-27 12:15:00,1.27916,15.986,-0.016195875216718957
2015-07-27 12:30:00,1.2734,15.992,-0.01572474001395097
2015-07-27 12:45:00,1.27356,16.021,-0.015637052147959053
2015-07-27 13:00:00,1.27462,16.024,-0.015709573636552576
2015-07-27 13:15:00,1.27367,16.061,-0.015507447967500875
2015-07-27 13:30:00,1.27779,16.075,-0.015781240215189028
2015-07-27 13:45:00,1.27882,16.105,-0.01575812703232095
2015-07-27 14:00:00,1.28161,16.101,-0.015990112206972603
2015-07-27 14:15:00,1.27775,16.105,-0.0156744581677839
2015-07-27 14:30:00,1.27405,16.132,-0.015291847110480298
2015-07-27 14:45:00,1.28035,16.144,-0.01574301517788831
2015-07-27 15:00:00,1.27691,16.186,-0.015328907753022673
2015-07-27 15:15:00,1.28656,16.184,-0.01609040172049173
2015-07-27 15:30:00,1.28206,16.19,-0.015717792470356148
2015-07-27 15:45:00,1.28305,16.205,-0.015743378599160522
2015-07-27 16:00:00,1.28386,16.222,-0.01574797930924886
2015-07-27 16:15:00,1.28504,16.233,-0.015802243091399926
2015-07-27 16:30:00,1.28618,16.251,-0.01582919307634108
2015-07-27 16:45:00,1.28157,16.259,-0.015441072071524614
2015-07-27 17:00:00,1.28077,16.27,-0.015340509356681898
2015-07-27 17:15:00,1.28038,16.277,-0.015285827239296307
2015-07-27 17:30:00,1.28683,16.285,-0.015762545152030922
2015-07-27 17:45:00,1.2892,16.291,-0.015927136929343427
2015-07-27 18:00:00,1.28862,16.305,-0.01583341173467265
2015-07-27 18:15:00,1.28702,16.308,-0.015697933989931093
2015-07-27 18:30:00,1.28111,16.313,-0.015218524648400645
2015-07-27 18:45:00,1.28756,16.315,-0.015715973409012266
2015-07-27 19:00:00,1.28813,16.322,-0.015736358684108512
2015-07-27 19:15:00,1.27573,16.324,-0.014759827915259193
2015-07-27 19:30:00,1.28149,16.323,-0.015213687411463013
2015-07-27 19:45:00,1.28099,16.322,-0.015178044952524904
2015-07-27 20:00:00,1.28523,16.322,-0.015509592602652991
2015-07-27 20:15:00,1.28595,16.319,-0.015576258570952854
2015-07-27 20:30:00,1.28992,16.32,-0.015883238375632592
2015-07-27 20:45:00,1.28248,16.322,-0.015294555801272746
2015-07-27 21:00:00,1.28676,16.322,-0.01562923125942089
2015-07-27 21:15:00,1.28588,16.324,-0.015553509200353536
2015-07-27 21:30:00,1.27863,16.324,-0.014986593996714714
2015-07-27 21:45:00,1.28248,16.324,-0.015287645518647065
2015-07-27 22:00:00,1.28027,16.322,-0.015121744408163528
2015-07-27 22:15:00,1.28233,16.318,-0.015296647086448786
2015-07-27 22:30:00,1.27989,16.314,-0.015119671362475478
2015-07-27 22:45:00,1.27497,16.311,-0.014745316399944598
2015-07-27 23:00:00,1.26551,16.305,-0.014026320651073574
2015-07-27 23:15:00,1.26974,16.299,-0.014377817197073659
2015-07-27 23:30:00,1.27028,16.292,-0.014444228594534526
